id,pickup,delivery,plat,plon,dlat,dlon,P geom_3857,D geom_3857
1,NJ 07652,NY 14221,40.9472994,-074.0701694,42.9844813,-078.7227613,"-8245453.540579514, 5004571.442283482","-8763377.701756423, 5309610.0407896135"
2,TX 78758,CA 95841,30.3879866,-097.7068484,38.6603703,-121.3473936,"-10876676.610903576, 3553520.031357178","-13508330.064642945, 4673138.63734828"
3,FL 32539,LA 70460,30.7789986,-086.4771694,30.2979574,-089.8406884,"-9626594.462851658, 3604081.0419907467","-10001019.685205162, 3541907.273467306"
4,MA 02090,LA 70125,42.2196452,-071.2167679,29.9520724,-090.1033099,"-7927814.33857075, 5193938.225732688","-10030254.576856526, 3497390.683849719"
5,VA 23320,GA 30909,36.7622883,-076.2116495,33.4704807,-082.0830452,"-8483842.014855443, 4406024.434164887","-9137442.794425258, 3957920.2135035438"
6,NY 11548,MD 21704,40.8128675,-073.6274050,39.3548835,-077.3759023,"-8196165.233030124, 4984778.723138533","-8613446.043706086, 4772633.8282421725"
7,NY 10994,MD 21237,41.0980715,-073.9726491,39.3415368,-076.4952701,"-8234597.630441505, 5026817.967334878","-8515414.515625924, 4770712.537125635"
8,UT 84401,NV 89156,41.2162046,-112.0416900,36.1634217,-114.9881875,"-12472423.878417812, 5044284.2872514725","-12800426.479741463, 4323131.307971324"
9,WA 98056,IN 47129,47.5125270,-122.1902485,38.3131304,-085.7686002,"-13602156.242923561, 6026136.485682502","-9547716.90031586, 4623755.5655307425"
10,NE 69361,IN 47201,41.9228378,-103.6229037,39.1588734,-085.9931989,"-11535248.874404423, 5149427.919520476","-9572719.113232693, 4744454.441300699"
11,CA 95043,AZ 86438,36.5257759,-120.9517230,34.5489252,-113.8054215,"-13464284.214929076, 4373210.596315676","-12668761.570893867, 4102749.590950539"
12,AZ 85251,VA 24073,33.4935134,-111.9192394,37.1347360,-080.4231577,"-12458792.73997848, 3960994.3219736065","-8952664.96315114, 4457903.925046161"
13,MO 65785,VA 22973,37.7084751,-093.8250539,38.3358953,-078.4786849,"-10444557.223799447, 4538324.584152244","-8736207.241193768, 4626985.828287347"
14,CA 91790,CO 80924,34.0669637,-117.9370069,38.9677114,-104.7212191,"-13128687.553790791, 4037797.1630260726","-11657512.785462834, 4717047.562430711"
15,CA 92120,AL 36856,32.7946739,-117.0711721,32.2744931,-084.9978280,"-13032303.264743695, 3868081.963173806","-9461914.93149425, 3799396.29066496"
16,CA 95540,NV 89141,40.5787271,-124.1368704,35.9884103,-115.2070559,"-13818853.201598596, 4950401.186673222","-12824790.798580203, 4299026.764358549"
17,MT 59829,TX 77355,45.7754351,-114.2961006,30.1562571,-095.7492600,"-12723383.71844877, 5744435.277702056","-10658758.867032759, 3523651.09105543"
18,OH 44646,TX 75009,40.8143808,-081.4971817,33.3388989,-096.7529773,"-9072224.767930893, 4985001.306328047","-10770492.165769156, 3940374.0038445573"
19,NJ 08902,TN 37086,40.4391587,-074.4843978,36.0222366,-086.5593844,"-8291565.235139626, 4929966.359759614","-9635746.594787227, 4303681.525448597"
20,CA 92806,CA 95709,33.8379605,-117.8704945,38.7501320,-120.6754121,"-13121283.427291354, 4007064.777625958","-13433525.426240444, 4685943.062644796"
21,CA 91345,CA 95993,34.2658786,-118.4567483,39.0824967,-121.6801142,"-13186544.901782975, 4064559.1441757386","-13545368.352411376, 4733495.415487348"
22,CO 81657,TX 78045,39.6759926,-106.3082994,27.8338145,-099.6814241,"-11834185.75630687, 4818969.514505057","-11096485.372360349, 3228037.7106789853"
23,NY 11937,CA 90405,41.0130133,-072.1689123,34.0113121,-118.4697617,"-8033806.568340418, 5014261.312154009","-13187993.546844466, 4030321.0659428285"
24,TN 37203,CA 93313,36.1497755,-086.7891460,35.1632030,-119.0463267,"-9661323.539103076, 4321249.868781474","-13252176.469053686, 4186081.9569397233"
25,LA 70461,AL 35973,30.2342390,-089.7153692,34.3440155,-085.5515135,"-9987069.215674538, 3533694.7571682045","-9523550.91941387, 4075088.972953932"
26,VA 23320,GA 30909,36.7622883,-076.2116495,33.4704807,-082.0830452,"-8483842.014855443, 4406024.434164887","-9137442.794425258, 3957920.2135035438"
27,TN 37404,GA 30011,35.0279125,-085.2736625,34.0198589,-083.8371629,"-9492620.687577467, 4167674.988579033","-9332710.283580726, 4031468.903013912"
28,PA 18092,GA 30101,40.4696971,-075.5131400,34.0345154,-084.7073487,"-8406084.293001179, 4934433.989770018","-9429578.923732262, 4033437.5431841724"
29,MD 20814,GA 30305,39.0048389,-077.1030042,33.8356962,-084.3891162,"-8583067.166175634, 4722364.727189197","-9394153.443878394, 4006761.319146119"
30,CA 95834,IN 46204,38.6352119,-121.5186075,39.7719936,-086.1569968,"-13527389.508807674, 4669552.694977719","-9590953.0120537, 4832864.119642539"
31,IA 50636,CO 81615,42.8973817,-092.8107328,39.2206082,-106.9292957,"-10331643.515446572, 5296365.316051663","-11903314.748207377, 4753321.249227885"
32,NH 03103,CO 80021,42.9509059,-071.4465605,39.8906634,-105.1137237,"-7953394.733790814, 5304502.207245051","-11701206.197668852, 4850066.480225751"
33,IL 60443,NC 27534,41.5028868,-087.7495705,35.3692725,-077.8868715,"-9768237.505388461, 5086802.732422559","-8670326.87486113, 4214177.726468531"
34,TN 37312,GA 31503,35.2324611,-084.8798211,31.2027041,-082.4171149,"-9448778.463476159, 4195516.7237743335","-9174631.263318721, 3659102.2044294863"
35,DC 20037,CO 80206,38.8988888,-077.0554558,39.7302838,-104.9525949,"-8577774.102499599, 4707198.592047803","-11683269.42170072, 4826824.918214662"
36,NV 89117,CA 95340,36.1409610,-115.2810910,37.3457761,-120.4241500,"-12833032.348213032, 4320034.763398485","-13405555.057212794, 4487413.734895441"
37,NV 89103,CA 93923,36.1118395,-115.2116682,36.4486716,-121.8495017,"-12825304.23746759, 4316021.247090209","-13564224.482658122, 4362534.81883718"
38,NJ 08312,AZ 85016,39.6637360,-075.0775045,33.5133903,-112.0292278,"-8357589.5709697055, 4817196.959361513","-12471036.592659649, 3963647.8922701054"
39,KS 66061,CA 92585,38.8937552,-094.8799681,33.7466976,-117.1721388,"-10561989.735374039, 4706464.322634024","-13043542.826374773, 3994840.2035352467"
40,AZ 86322,CA 90220,34.5002789,-111.8011579,33.8815097,-118.2344512,"-12445647.967526374, 4096176.7131463233","-13161798.901806151, 4012902.7489827243"
41,GA 30122,TX 77093,33.7669094,-084.6413563,29.8631560,-095.3419265,"-9422232.683368038, 3997546.4309420176","-10613414.709229715, 3485971.9231238174"
42,NM 88210,NC 28443,32.7717974,-104.2196691,34.4450362,-077.6757117,"-11601680.49485547, 3865052.910680638","-8646820.673449121, 4088717.2073178263"
43,CA 93449,CO 80524,35.1609345,-120.6533416,40.6468542,-105.0295194,"-13431068.549418893, 4185773.063812953","-11691832.617870249, 4960391.458489073"
44,OK 73064,NC 28217,35.3687639,-097.7465558,35.1687454,-080.9083638,"-10881096.8184523, 4214108.295204955","-9006677.859132929, 4186836.680977154"
45,OH 45311,NC 28625,39.6352211,-084.6783045,35.8695670,-080.8896402,"-9426345.738177765, 4813074.3375087315","-9004593.557515113, 4282688.802732049"
46,ME 04090,TX 78028,43.3314321,-070.6455859,30.0365097,-099.1630442,"-7864230.649180467, 5362556.028392701","-11038779.58585488, 3508243.6888151127"
47,CA 95023,NV 89014,36.9020448,-121.3507827,36.0617186,-115.0580602,"-13508707.337529192, 4425461.876497724","-12808204.673125817, 4309117.0827851165"
48,NV 89103,AZ 85260,36.1118395,-115.2116682,33.6107386,-111.8914720,"-12825304.23746759, 4316021.247090209","-12455701.687149826, 3976652.7269427925"
49,WA 98532,NM 87747,46.6263075,-123.0526710,36.3561943,-104.4717715,"-13698160.676472222, 5881289.835465819","-11629744.40565123, 4349744.497162047"
50,IL 60176,FL 32738,41.9581224,-087.8688828,28.9051927,-081.1845368,"-9781519.289869834, 5154708.445375405","-9037421.29686378, 3363584.715074718"
51,TN 37069,CO 80216,35.9874929,-086.9035982,39.7869642,-104.9575987,"-9674064.299727246, 4298900.550813495","-11683826.442168752, 4835032.619266628"
52,OH 44319,TX 76226,40.9814967,-081.5274488,33.1147142,-097.1739095,"-9075594.086090682, 5009612.814291871","-10817350.123931648, 3910540.272297681"
53,GA 30114,FL 33314,34.2478133,-084.5245094,26.0675825,-080.2226414,"-9409225.345959267, 4062126.0343441432","-8930343.590739386, 3007453.7360491934"
54,TN 37312,GA 31503,35.2324611,-084.8798211,31.2027041,-082.4171149,"-9448778.463476159, 4195516.7237743335","-9174631.263318721, 3659102.2044294863"
55,FL 33409,TN 37421,26.7156014,-080.0958864,35.0325443,-085.1463606,"-8916233.288683886, 3087984.6135022757","-9478449.50489245, 4168304.664399964"
56,FL 34761,KY 40222,28.5785766,-081.5341159,38.2717650,-085.6194476,"-9076336.264267752, 3322116.8440121952","-9531113.30883337, 4617888.548634862"
57,CA 91360,WA 98251,34.2127171,-118.8821339,47.9115468,-121.6064218,"-13233898.610165766, 4057400.624379987","-13537164.951968042, 6092151.969181464"
58,СА 92503,WA 98004,33.8825837,-117.4422923,47.6183371,-122.2053410,"-13073616.176430793, 4013046.761273446","-13603836.332338357, 6043592.981654369"
59,OR 97146,NV 89511,46.1296985,-123.9459105,39.3854406,-119.8769089,"-13797595.64276866, 5801157.911886902","-13344636.456619646, 4777033.982471637"
60,NV 89410,CA 93560,38.8717776,-119.6042071,34.8668939,-118.3398320,"-13314279.431105236, 4703321.420884976","-13173529.838801542, 4145807.236752188"
61,CA 94044,CA 92007,37.6065981,-122.4772305,33.0230461,-117.2755809,"-13634102.933030397, 4523999.416554739","-13055057.948273359, 3898363.347386561"
62,CA 94040,CA 91977,37.3805678,-122.0852971,32.7259630,-116.9965517,"-13590473.10651752, 4492286.622131726","-13023996.559812907, 3858986.3690592116"
63,TN 37353,FL 34238,35.1150099,-084.9890965,27.2357920,-082.4705357,"-9460942.94536039, 4179521.5346618667","-9180578.039572489, 3152961.8561983625"
64,TN 37716,FL 33178,36.1008826,-084.1686912,25.8354968,-080.4224809,"-9369615.845120287, 4314511.555795474","-8952589.62211977, 2978720.7421496245"
65,TX 77090,KY 42104,30.0094269,-095.4396026,36.8768635,-086.4511897,"-10624287.962944388, 3504761.641164235","-9623702.415876696, 4421957.017143607"
66,GA 30331,IN 46818,33.7054332,-084.5440755,41.1558559,-085.2530137,"-9411403.434248077, 3989317.150483008","-9490322.073675975, 5035357.624801707"
67,MN 55304,UT 84088,45.2476048,-093.2750365,40.5951611,-111.9609201,"-10383329.566904007, 5660586.386890766","-12463432.614278387, 4952810.163974963"
68,MS 39402,KY 41056,31.3337037,-089.4191753,38.6019394,-083.7774019,"-9954097.061550466, 3676163.1759426664","-9326057.71949143, 4664812.144919417"
69,LA 70065,TN 38018,30.0266720,-090.2534500,35.1386126,-089.7664237,"-10046968.096336177, 3506978.7413412877","-9992752.576617245, 4182734.0337963486"
70,CO 80550,CA 92562,40.4846568,-104.9009826,33.5476134,-117.3440401,"-11677523.96674605, 4936623.267656446","-13062678.791557474, 3968218.112159944"
71,CT 06385,TX 78023,41.3617302,-072.1565756,29.5782334,-098.7484151,"-8032433.253178348, 5065844.090751673","-10992623.285574807, 3449450.0723266536"
72,WA 98032,CA 95356,47.3919421,-122.2571921,37.7184884,-121.0323573,"-13609608.370387428, 6006285.307897547","-13473260.384145547, 4539733.640124172"
73,GA 30331,IL 60515,33.7054332,-084.5440755,41.8105542,-088.0227959,"-9411403.434248077, 3989317.150483008","-9798652.817788249, 5132643.48958564"
74,WY 82070,CO 80216,41.1952451,-105.8318821,39.7869642,-104.9575987,"-11781151.225065764, 5041183.066116824","-11683826.442168752, 4835032.619266628"
75,PA 17545,NH 03051,40.1786657,-076.4343406,42.7604969,-071.4093933,"-8508631.874711636, 4891939.560957744","-7949257.3000126025, 5275587.794077126"
76,NJ 07083,MA 01570,40.6952664,-074.2690777,42.0475322,-071.8469522,"-8267595.911250069, 4967496.903996619","-7997966.133952666, 5168102.198478429"
77,MO 64137,IA 50616,38.9353601,-094.5426681,43.0805500,-092.6588856,"-10524441.671129469, 4712416.686477892","-10314739.96246419, 5324240.426073211"
78,NY 12151,VA 23834,42.9226971,-073.7872251,37.2905835,-077.4041118,"-8213956.325180655, 5300212.94938372","-8616586.310881618, 4479688.149363538"
79,CT 06088,VA 23454,41.9179110,-072.5833705,36.8180371,-076.0308570,"-8079943.844119514, 5148690.830394056","-8463716.285816198, 4413773.764162375"
80,CA 95035,CA 92627,37.4436377,-121.8749528,33.6477635,-117.9197614,"-13567057.686150251, 4501125.8906380795","-13126767.793512316, 3981602.765406652"
81,CA 94005,CA 91401,37.6888257,-122.4089346,34.1784827,-118.4317905,"-13626500.268219125, 4535560.104438931","-13183766.612195654, 4052793.1443732483"
82,TX 77074,MS 39503,29.6879469,-095.5157251,30.4746116,-089.1528784,"-10632761.880882299, 3463501.062087246","-9924453.02624264, 3564703.7908471064"
83,GA 30331,TX 76107,33.7054332,-084.5440755,32.7420578,-097.3817300,"-9411403.434248077, 3989317.150483008","-10840484.596168052, 3861116.2862674766"
84,TX 77701,TX 75080,30.0730533,-094.1054860,32.9760629,-096.7420804,"-10475774.782373535, 3512943.624575317","-10769279.128409933, 3892127.144566414"
85,VA 20152,CO 80123,38.9194727,-077.5023600,39.6160105,-105.0694488,"-8627523.250476973, 4710143.283083134","-11696277.53834593, 4810297.869090909"
86,FL 34761,KY 40143,28.5785766,-081.5341159,37.7813555,-086.5097571,"-9076336.264267752, 3322116.8440121952","-9630222.109021783, 4548584.556062045"
87,CO 80233,NV 89030,39.8996713,-104.9465609,36.2115141,-115.1241292,"-11682597.719893273, 4851373.47928792","-12815559.440563036, 4329764.552459774"
88,NC 28405,IL 60185,34.2631818,-077.8663796,41.8966908,-088.2110144,"-8668045.726987744, 4064195.8947422863","-9819605.205366122, 5145516.767016143"
89,CA 93402,CO 80216,35.2952317,-120.8354679,39.7869642,-104.9575987,"-13451342.756394954, 4204074.683771776","-11683826.442168752, 4835032.619266628"
90,AZ 85268,IL 60462,33.6067009,-111.7370151,41.6251603,-087.8329314,"-12438507.623692319, 3976113.035860333","-9777517.19832853, 5104994.607142806"
91,NV 89048,AZ 85210,36.1653433,-116.0033232,33.3897328,-111.8435049,"-12913430.868951537, 4323396.270562126","-12450362.014002997, 3947149.4687373773"
92,CA 93221,AL 36523,36.2950209,-119.0260209,30.3707982,-088.1907914,"-13249916.037737539, 4341292.095522684","-9817353.991303809, 3551302.0950353486"
93,WA 98002,MO 65714,47.3082862,-122.2168124,37.0409707,-093.3207435,"-13605113.322745042, 5992540.205864365","-10388417.646869695, 4444819.114126252"
94,WA 98589,OK 74127,46.8334645,-122.7953547,36.1731345,-096.0464240,"-13669516.356983412, 5914933.477785153","-10691839.01219485, 4324470.637991699"
95,TX 77379,FL 34997,30.0394566,-095.5343829,27.0556373,-080.2701947,"-10634838.857677622, 3508622.6304538143","-8935637.199880928, 3130424.615801235"
96,TX 77030,FL 33548,29.7067865,-095.4017476,28.1462790,-082.4823030,"-10620073.963620408, 3465915.388167634","-9181887.969416501, 3267428.7739172215"
97,FL 33781,FL 33009,27.8388706,-082.7149951,25.9851288,-080.1472609,"-9207791.135500118, 3228674.205131627","-8921952.271863647, 2997239.1982317274"
98,FL 33334,PA 18360,26.1825525,-080.1337273,40.9672889,-075.2880041,"-8920445.718403045, 3021708.476472161","-8381022.279253892, 5007517.980676993"
99,CO 80011,MO 63132,39.7387643,-104.7821588,38.6760172,-090.3780070,"-11664296.56183593, 4828052.5217494955","-10060833.718150914, 4675369.497271384"
100,TX 76365,OH 45036,33.7584898,-098.2022505,39.4428549,-084.2162268,"-10931824.520413496, 3996419.024207469","-9374907.483906839, 4785306.727795903"